reviewId,content,score
0a0b73de-0838-47ac-987f-5d5db25f0b0d,stupid 🙄 you permanent ban may acc almost 7yrs without violence against the rules I didn't do wrong the last time I did was chatting my nephew and this morning you send a message telling me I did wrong what's going on ? did you hit your brain and do all stupid games us?,2
a783a202-b76f-43c3-a0de-32b172a2de16,transferres great picture,3
8f749aaf-91cd-4d28-9b6f-fb82e486937a,awesome,4
bb0a7d4d-a3cf-4f20-94f7-8fcf8ce93aec,good,5
fe03bd16-cb3f-4212-9514-7900bb91c65f,nice app verey very nice Facebook app,5
545563e7-f9cd-4392-91df-4e9f6d83878c,Exilent rediym work,5
068eb229-8c37-4aa3-b344-afec93d298e9,amazing,5
5c20407e-6ec3-4a8d-ad56-1d50e3870268,too much commerical,1
459ccb3e-4a3b-49e7-85c3-cde4811f59a1,good 👍,5
987da329-7266-4c1a-9236-77750ad9a7ea,very nice 👍,5
dc3984e4-53b3-4645-92c7-512873c4dfec,nice app,5
1a7fdf1e-afe6-40f0-9453-a89aa24fbc76,nice fezebook nice audeate koo,5
e935ef52-d621-4cf9-9ef8-ea5bff980832,nice,5
6f276f37-3e06-4c6e-a442-9dc0c3e13bb7,very very good,5
30797007-877b-4f89-9f35-17bb70156080,verygood,5
1887fa81-a67e-4fc5-b26c-06207f7ad1d1,"It gives me the option to hide the Reels icon, but it doesn't actually hide it. I've been trying throughout the day. And as of this week's new update, tagging or searching for people is nearly impossible. It's only giving me pages and groups to tag or invite instead of my friends.",1
75363470-474d-41d1-b871-362f93142c52,good,5
592012d8-4150-44a4-b41a-72f078ddb4c6,thank you facebook and facebook family members for your support,5
c8706308-52c7-49d3-a3d7-1127d639916b,wow 😮,5
16b96881-62df-4b47-a69c-ee618270aabf,"always buggy on my sony 1 iii, notification panel always gets bugged and sometimes when i open a reel. it starts to play someone's story on top of it",1
2482792f-153e-4fa0-8cf6-dd41a17abb20,good,1
9ce39000-33fc-4b39-b889-ba45864f8a56,best,5
d2566b01-0f0a-4cf6-8adc-98a356167074,very good app,5
06b7f7af-cc6b-4420-93a3-2dd069167a46,Download,5
b77352b4-086b-44d9-abd9-b1553e3a6256,good,5
03e07a77-1474-4cc1-b803-9c4ced4686a0,good app,4
648d5991-361c-4cf4-b183-cb1f5b477600,like,5
53d6f3c6-ab3e-4c40-bbbb-ab4edbb07805,good,5
15b77a0b-5c70-4c22-a733-02b3bc97499d,Masha Allah ♥️,5
1f494e14-2e1c-4399-b988-e88a0e3fec13,ทำไมโดนบล็อคไม่ให้ลงคอมเม้นท์ขายของหลายครั้งจังเลย?? แถมโพสต์ที่ผมไปลงก็คือโพสต์หาของที่ตรงหัวข้อด้วยนะผมไม่ได้สแปมมั่วๆเลย ผมไม่เคยโกงด้วยซ้ำ รู้มั้ยเสียโอกาสไปกี่โพสต์แล้ว?? จะรับผิดชอบยังไง แถมที่ขายก็ไม่ใช่หลายอย่างด้วยนะ อย่างเดียว,1
b546ac1d-5f99-4f99-853c-3c699a6bba4a,"you made my day, I loved it!!",5
da6a85aa-6461-4f20-b26e-513d736cede7,Excellent!,5
f4b52ed7-2ee6-4aaa-ac2a-3d4b2fa52083,nice Love you Facebook,5
ba82bc8d-aefe-4a6a-a540-e1eb383a9640,very good,5
491daa1d-e3e6-4f54-9e7a-39793abac257,Excellent,5
03f61e5a-390d-466a-aaeb-56c6c55baeba,This app is no longer creating I can't create account 😭😭,1
9c5a4059-c9f8-477c-abe0-789a07501aa9,"obviously loyal to the death 🌟,",5
c3294f51-65b2-4f41-b185-ad96ad5aa962,awesome awesome,5
48c2b863-9825-41db-9f76-50dca4b28313,"My Facebook account has suspended with Violation of child S3xual exploitation, for no reason and I did not do something wrong whyyyyyyy meta Facebook???? if you did not fix this Facebook will be dead in the future..",1
c41c4256-30d7-4b8f-81d6-0d82e544e130,how can I connect my phone to renew my category,5
80ae4acc-2418-4700-ac2e-57a3ff0d38b9,😄,5
575fad5e-7dab-40dc-a804-c2a1eb356ce3,Jake is so amazing with the animals and with kids/people! I am always shocked how he can capture the PAWfect picture in seconds! This young man is a true professional and a pure joy to work with!!,5
7d561316-cdab-4228-9ab6-6b99371d443b,"reels have been broken for a while now, everytime I scroll videos now it automatically clicks on an ad and opens it up, half the time there isn't even an ad there it just opens. then it gets locked to double speed playback and I can't scroll anymore, I restart the app and it happens again. it reminds me of the early internet when websites would make it seems like people were clicking on ads but they weren't so they could scam the advertisers, didn't think Facebook would sync so low.",1
7ab2f894-a8d3-4a91-bb0f-cba2338f75fb,Nice App,5
