reviewId,content,score
7b9734bf-7ca1-477b-80f8-995c7386812f,"La app te banea por nada y permanentemente, pides al soporte si puede devolver tu cuenta y nunca llega a nada y no puedes cambiar de cuenta porque igual es baneada",1
0d297f99-8062-46df-a6dc-d2ba46a7cc23,Halp me to find my account,5
677d6737-3a1e-4c0b-b6f1-f372d9caaa33,this is simple,5
619f33e0-5b98-4098-bb68-e62d96e4cabd,foryou,5
48f85cac-d717-4e11-b608-59c34953c63a,every time I open the app it just exit it out,1
6955a584-e2c0-447b-ba07-76b2cb8b8c8f,it's very good and I love it,5
117c1dbe-a05b-4c2d-849b-bcff5b1f0911,I love it,5
bfd84b44-d84c-49a6-918a-357449ee932c,I got age restrictions. I'm 16 and I don't have a ID most kids don't.,3
cd86e949-c438-439d-baaf-d39eb3e93670,Good,4
53da0c35-2e5f-4efc-a344-e698bb99334f,this is very nice appp OK,5
7be54b43-0bf3-4d85-8ba9-472e780cd6ce,app keeps crashing! this has been happening for a few weeks. random times it crashes would have been better if the original owners kept it edit......telling me to go to developer does not help they acted like they knew nothing so no I wont go to the developer they can find it here and figure it out. the app crashes. freeze you close it then go to open then it has to.force close its that simple,1
7502d769-9943-40fd-95eb-d8459c7d779a,Tiktok will not donglode,5
0cded1c2-c4da-4a24-9c9e-ec3b7f61bc86,good,5
beb9ca50-1da7-46cf-a1a3-4f0a4cd4b4bb,it's tuff boi,5
f2efc488-d24e-4ffa-a3aa-f67725c6a582,formidable ❤️❤️❤️❤️,5
b598c3ac-177a-4d02-ad41-c9c66bd74759,l Love,5
3c6cdbdb-7edd-4d33-8570-1f4808705ab2,Awesome,5
48828f15-b6c2-411f-8db7-25c9b807cbf8,it's good and faster i like it 😊😁,5
e9472ddc-e676-4a97-85e1-5b8274510cc9,absolutely excellence cannot fault this app,5
376cccdf-6e76-47e4-bc80-6d584813b809,بحبها بس م راضي يشتغل 🙂🙂🙂,5
5cc8052b-0a0f-4529-bfc4-82c53c71086f,give me stickers in comments,1
37a3dc81-ce8c-4148-ac5f-60ec944466a8,nice app I enjoy it,5
67511fae-fd06-4c36-a9aa-999eced3748c,Its nice Fast and reliable,5
fc32e91c-11a1-4ec4-b787-777193087033,It keeps on making it all weird when I make a new account,1
743de287-8d8a-47cc-a41a-91d4059593a5,TIK TOK IS SO BORING NOW,1
38993753-dfa0-4201-95cd-6e791cdf2774,best app for entertainment,5
1b2e41e7-a9e2-4885-8f46-eb6d2c59fdeb,"It logged me out of my account, even when I had the email and password correct and it doesnt help that my phone number isn't helpful either",1
609ab572-48ea-4f1b-ae76-de1f441feb85,"I miss my Chinese spy, at least he'd put stuff I'd watch on my fyp",3
11c38244-5729-4ea0-921f-115f1df8117c,Bombarded with local post which I have zero interest in. Makes app/experience unusable. Have turned off all permissions but still happens. It's actually pretty creepy.,1
53595a4c-eb5c-4a13-a038-06a1085c66ad,"it's good and all but it's been lagging a lot lately, it keeps freezing and kicking me out the app for now reason, and it's not because I have slow wifi or slow phone, it just kicks me out, not even letting me play a single video, pls fix this",3
a7916e79-a088-4820-b8d0-ad902e57cf3b,this is best,5
187038b9-4bd1-404e-9812-66f31e66441f,Nice apk,5
d8ae642b-7b78-4e6f-b709-d5816667fd6c,"I finally decided to try TikTok after hearing about it in the news so often. The app just plain doesn't work at this point. Maybe I missed the functional times, but this explains all the one star reviews I see this year. I signed up but got a warning message about solving the recapcha too quickly. After selecting some interests, I tried to add a profile picture only to be met with an error message about my account being suspended. I never even watched a single video. It lasted 20 seconds, maybe.",1
37f436f4-6283-486c-a805-895b9626babe,ppl are so rude almost 0 censorship,1
8635a757-e278-458f-b0f9-d9b6b34765a0,"If I copy from TT to messenger I can't see it there. I don't like that. your losing me from TT, but you don't care.",1
a9a80019-0a97-42da-8025-c0fd24f9184f,for you and trending my video plz sir meri video ko unfreez kar do plz shukrya sir ji aur meri video million pe jani chaye sir ji thank you sir,5
1a584835-8153-4441-8989-62e7786baf47,"tiktok is a good and educating platform but for not monetizing Nigerians this is real bad, how can we Nigerians have real followers up to 56k and over 1.7m views nothing to write home about, we keep posting going to live trying to leave up to higher level to gain nothing but others country are being monetize, my question is, why are you not monetizing us Nigerians????????????????????",5
036530f2-0a3f-4415-bd9c-998071f4ad11,very good,5
db071632-4ca5-489e-8ace-b6589f33ae78,my children got better from this app they say they even have a online boyfriend I'm so happy 😁,5
5acd0570-284c-4521-ad3e-34e5d0c4daa8,I am facing issues with visibility of comments. please fix this bug as soon as possible.,1
741153dd-3dad-401b-b380-66e091e81bcc,"This app force stop every moment and most times had to slow my phone down,I thought I needed to update it but it never stop even after doing the update.",3
cd37f81b-33cb-460f-99ed-19b9e8ffe492,nice.,5
ba0a0efa-07cc-48e1-b93c-7e70986f9bec,I love TiK ToK but I need follower,5
284863f0-eadb-47b1-bbaf-b3e69cf585ea,its okay less data usage even offers to watch videos offline nice one💯💯,5
dc8452d9-4c8d-4619-8a39-0fc08f240e5a,nó experience....,5
87fd19e7-9149-4ee1-8fcb-5178f6c8bc0f,TikTok is not updating.,5
bbc37acc-b632-42e1-bf8d-6e872c1fede7,"I haven't been able to log in at all on the app itself, despite deleting cache, data, and uninstalling. it's been two months at least since I've tried to log in again, and on my first attempt, it says ""Maximum number of attempts reached. please try again later."" and nothing works to fix it. PLEASE fix your app, I can't use the STUPID LITE VERSION ANYMORE! I'M TIRED OF IT!",1
947b290b-d91e-4331-8823-0dd8f80bfadb,Nice,5
e908e6cd-7e67-4630-a71d-090fce403c44,paly,5
f6baae63-dd93-4aa1-a382-8610c154773d,bring back @visit.yellowstone....,1
fd213d4c-d7bb-4444-a16f-e6301968ec46,IT IS THE BEST APPLICATION,5
7917b775-033e-40de-86c6-413aaa3a5c56,excellent 👌,5
c80b7006-4b75-43e6-b979-210c563b8b45,videos upload krni ki khoshish kr rhi thi lkn sound pe khud photos mode pe shift ho gya ab switch to video mode nhi show horha don't know ye koi bug hai pls fix kry jldi,2
bee86ff3-d712-4ca2-a1ed-e32d77aba520,it used to work for me but suddenly it doesn't even open at all. it shows no Internet connection while i have Internet. it doesn't even open,1
29d8e08c-6157-4dbc-8b1f-a14024cf6f9d,meh,4
e1090088-e1ce-4f5e-9fa1-50ce133646b7,"Very good, the only problem is that mine takes a long time to update, so I have to come here.",5
2ed16950-bc78-4a90-9dd3-2aafccce5fe7,direct massage suspend,5
