id,content,score
06e13bcf-3813-4f0f-b50b-6604167b28c3,it is so good for video,5
be6127a2-b476-4a91-92df-5ff5029c597a,This app is not really giving me what I want anytime I entered it doesn't work it always hang,1
84506c7e-e358-4388-95e7-a98e0032f695,every time I want to type something it says no internet connection and it blocks me from writing and I dissapears and when I want to type something it reapears and it's just annoying but other than that I like it,4
cb2cb439-6c26-46df-a82a-53c592969308,"keep freezing now with the new update, thanks for forcing me to use the app less!",1
64446b4a-99a6-47cc-ac24-cd73cad548f6,"if I like a video and hit the heart, something happens if I touch it in the wrong spot and it reposts the video even tho I didn't even open that button it just does it",3
f963d19e-b36b-440c-b8bf-9d7d96ef65cd,yoursatti@313 this app is very empresses,5
0b88499a-e4f9-4e0f-8d8d-52707172958b,Can you tell us why we cannot switch between personal account and business account anymore and you need verification to use business account - ? Please give me a place to read about full update!,2
6000a84c-af4e-4d95-9e43-fa8ee9f2b208,good but it distracts student from studying.,5
f068cc6c-4b12-4e43-ae6a-f6b07d7f4bf3,keeps crashing after latest update,1
d7070aa2-bbb7-41c1-8339-7180e8880899,it is great but it time me out of the app I am tik tok Doom scrolling and the next thing I know boom my phone turns it off,3
525e5d77-f42f-4543-a588-d14e32165791,Tik Tok is the only key to better mind,5
6376c44b-e3e1-4ea8-b504-4374dd0a7cf3,"great app. but I have a problem with my contact, the way it goes viral specifically. my videos are an interest of youngsters. so why does my analysis show that most watchers are 25-30? that doesn't make sense. I post edits about video games, that's not their interest mostly.",4
66e69101-8c78-4ba9-a06f-0ed984218f7e,why is this app so slow,5
73c121fd-3c62-4e06-b58a-1e51ede7fecb,"Not good since I went from iPhone to Android, Not sure why it won't allow me to change my phone number and I haven't been notified if I'm done put on restriction or something because I can't tap the screen for likes for people and every time I try to send out gifts it tells me I have to use a password which I've tried to change and it won't allow me.",3
17034000-6caa-4cf0-8f6e-ce2d0005b4df,Developers can make it more easy for Developers,5
e17d62ef-8007-4ddd-a440-27a67b4418a5,you remove people from sending messages is that make sense?,1
7a425585-e806-4838-8bec-0e20b681fc93,i can have my friends and jusy watch short videos ig,4
a468c068-a7a6-4f5b-a6cb-9ddb3c8148d6,I love tiktok so much,5
b3e34510-f6f8-405e-a709-ae715e8155ee,pls how do l get more likes and followers on tiktok,5
f46ec837-3b0d-4fe6-ab9f-2482067e9447,snack video vote everyone,5
f968acd5-a815-4a7d-a6c7-c8760f3a8b86,I lost my drafts i need it urgently how can I please help me,5
380b01dc-d28b-4c80-899e-9b7321b9863c,Amazing for entertainment,5
ffb351e1-53e2-4abb-b452-29c7778afc77,someone controlling my app,5
460aa264-beb2-445b-8021-14e284caf909,seems like if you pick more than one interest when you're setting your account up it just picks one random interest and only shows you videos of the one random interest.,2
eae001a5-7f4a-4c07-a2f1-8bcc29eec332,Same ads over and over every 5 seconds,1
1d4b3db8-6a08-4d9d-964e-8ef4de18fcdd,Kiukwel tiktok imekuwa sehemu ya kuniondolea mawazo naipenda tiktok,5
079769f2-93ca-4a27-af7c-904664496589,it's draining my battery very high make sure about it's size,5
f02dca47-719a-4a76-a103-2e4c357e8445,my account and video viral,5
61edef41-3f16-4aee-8241-ac28fc19a287,Difficult to navigate between screens.,1
96a77b53-4aa4-41c5-aae4-27151ea39f26,"Like Facebook before it, Tiktok is an exaggeration of the things wrong with the generation that uses it. Yes, I've used it. Yes, this is an informed review. Companies that build platforms like this that incentivize the creation of low-value, click-bait, and/or misinformation content on this scale should be criminally liable. With the recent Meta & YouTube lawsuits... that might actually become reality. Either way, I'm going back to using my brain when I'm bored instead of rotting it with this.",1
397c448a-af1d-404c-be9b-225db9ae27dd,sangatsabir1 my user name tiktok account viral me my videos all foryou just me ok,5
298b8465-e341-4a53-b750-9e2d42876960,The government knows this generation too well,5
f7c6c06a-5768-4d93-92ec-145712447386,"Ai event pictures now? no, I'm not following Ai Luffy on tiktok. Actually I'm deleting the app instead.",1
