id,content,score,translated,small_keywords,aggregate_tags,big_label
06e13bcf-3813-4f0f-b50b-6604167b28c3,it is so good for video,5,it is so good for video,"['video', 'good']",['content'],Content
be6127a2-b476-4a91-92df-5ff5029c597a,This app is not really giving me what I want anytime I entered it doesn't work it always hang,1,This app is not really giving me what I want anytime I entered it doesn't work it always hang,"['anytime', 'always', 'hang', 'really', 'doesn', 'work', 'what', 'app', 'giving', 'want', 'entered']",[],other
84506c7e-e358-4388-95e7-a98e0032f695,every time I want to type something it says no internet connection and it blocks me from writing and I dissapears and when I want to type something it reapears and it's just annoying but other than that I like it,4,every time I want to type something it says no internet connection and it blocks me from writing and I dissapears and when I want to type something it reapears and it's just annoying but other than that I like it,"['every', 'type', 'writing', 'reapears', 'blocks', 'want', 'something', 'than', 'dissapears', 'connection', 'time', 'when', 'says', 'internet', 'just', 'other', 'like', 'annoying', 'from']",[],other
cb2cb439-6c26-46df-a82a-53c592969308,"keep freezing now with the new update, thanks for forcing me to use the app less!",1,"keep freezing now with the new update, thanks for forcing me to use the app less!","['keep', 'now', 'new', 'update', 'less', 'app', 'thanks', 'use', 'freezing', 'forcing']",[],other
64446b4a-99a6-47cc-ac24-cd73cad548f6,"if I like a video and hit the heart, something happens if I touch it in the wrong spot and it reposts the video even tho I didn't even open that button it just does it",3,"if I like a video and hit the heart, something happens if I touch it in the wrong spot and it reposts the video even tho I didn't even open that button it just does it","['wrong', 'just', 'like', 'hit', 'video', 'tho', 'didn', 'happens', 'spot', 'even', 'reposts', 'open', 'button', 'something', 'heart', 'touch']",['content'],Content
f963d19e-b36b-440c-b8bf-9d7d96ef65cd,yoursatti@313 this app is very empresses,5,yoursatti@313 this app is very empresses,"['yoursatti', 'empresses', 'very', 'app']",[],other
0b88499a-e4f9-4e0f-8d8d-52707172958b,Can you tell us why we cannot switch between personal account and business account anymore and you need verification to use business account - ? Please give me a place to read about full update!,2,Can you tell us why we cannot switch between personal account and business account anymore and you need verification to use business account - ? Please give me a place to read about full update!,"['account', 'need', 'full', 'read', 'please', 'anymore', 'tell', 'verification', 'personal', 'can', 'why', 'business', 'cannot', 'update', 'give', 'use', 'between', 'about', 'place', 'switch']",['account_issue'],Functionality
6000a84c-af4e-4d95-9e43-fa8ee9f2b208,good but it distracts student from studying.,5,good but it distracts student from studying.,"['good', 'studying', 'distracts', 'student', 'from']",[],other
f068cc6c-4b12-4e43-ae6a-f6b07d7f4bf3,keeps crashing after latest update,1,keeps crashing after latest update,"['update', 'after', 'keeps', 'latest', 'crashing']",[],other
d7070aa2-bbb7-41c1-8339-7180e8880899,it is great but it time me out of the app I am tik tok Doom scrolling and the next thing I know boom my phone turns it off,3,it is great but it time me out of the app I am tik tok Doom scrolling and the next thing I know boom my phone turns it off,"['doom', 'boom', 'thing', 'phone', 'scrolling', 'off', 'great', 'time', 'app', 'tok', 'out', 'next', 'tik', 'know', 'turns']",[],other
525e5d77-f42f-4543-a588-d14e32165791,Tik Tok is the only key to better mind,5,Tik Tok is the only key to better mind,"['mind', 'tok', 'key', 'tik', 'better', 'only']",[],other
6376c44b-e3e1-4ea8-b504-4374dd0a7cf3,"great app. but I have a problem with my contact, the way it goes viral specifically. my videos are an interest of youngsters. so why does my analysis show that most watchers are 25-30? that doesn't make sense. I post edits about video games, that's not their interest mostly.",4,"great app. but I have a problem with my contact, the way it goes viral specifically. my videos are an interest of youngsters. so why does my analysis show that most watchers are 25-30? that doesn't make sense. I post edits about video games, that's not their interest mostly.","['way', 'contact', 'goes', 'interest', 'their', 'watchers', 'edits', 'specifically', 'viral', 'make', 'mostly', 'why', 'doesn', 'videos', 'great', 'app', 'most', 'youngsters', 'about', 'problem', 'post', 'video', 'sense', 'analysis', 'show', 'games']",['content'],Content
66e69101-8c78-4ba9-a06f-0ed984218f7e,why is this app so slow,5,why is this app so slow,"['app', 'why', 'slow']",[],other
